Category: All categories

Day,bitcoin: (Worldwide)
2016-08-23,60
2016-08-24,56
2016-08-25,54
2016-08-26,58
2016-08-27,55
2016-08-28,57
2016-08-29,58
2016-08-30,51
2016-08-31,55
2016-09-01,57
2016-09-02,54
2016-09-03,56
2016-09-04,61
2016-09-05,57
2016-09-06,57
2016-09-07,60
2016-09-08,65
2016-09-09,62
2016-09-10,61
2016-09-11,61
2016-09-12,64
2016-09-13,59
2016-09-14,56
2016-09-15,57
2016-09-16,59
2016-09-17,56
2016-09-18,57
2016-09-19,54
2016-09-20,64
2016-09-21,60
2016-09-22,53
2016-09-23,56
2016-09-24,52
2016-09-25,54
2016-09-26,54
2016-09-27,55
2016-09-28,56
2016-09-29,55
2016-09-30,56
2016-10-01,56
2016-10-02,53
2016-10-03,55
2016-10-04,57
2016-10-05,55
2016-10-06,57
2016-10-07,55
2016-10-08,59
2016-10-09,54
2016-10-10,55
2016-10-11,65
2016-10-12,67
2016-10-13,65
2016-10-14,62
2016-10-15,59
2016-10-16,55
2016-10-17,59
2016-10-18,62
2016-10-19,61
2016-10-20,60
2016-10-21,53
2016-10-22,56
2016-10-23,63
2016-10-24,63
2016-10-25,63
2016-10-26,62
2016-10-27,70
2016-10-28,80
2016-10-29,86
2016-10-30,70
2016-10-31,71
2016-11-01,77
2016-11-02,74
2016-11-03,83
2016-11-04,74
2016-11-05,76
2016-11-06,70
2016-11-07,70
2016-11-08,68
2016-11-09,100
2016-11-10,73
2016-11-11,72
2016-11-12,71
2016-11-13,68
2016-11-14,67
2016-11-15,76
2016-11-16,77
2016-11-17,80
2016-11-18,76
2016-11-19,73
2016-11-20,77
2016-11-21,73
2016-11-22,77
2016-11-23,72
