Category: All categories

Day,bitcoin: (Worldwide)
2017-02-23,29
2017-02-24,34
2017-02-25,29
2017-02-26,24
2017-02-27,28
2017-02-28,27
2017-03-01,29
2017-03-02,34
2017-03-03,47
2017-03-04,37
2017-03-05,30
2017-03-06,32
2017-03-07,34
2017-03-08,36
2017-03-09,34
2017-03-10,45
2017-03-11,40
2017-03-12,29
2017-03-13,31
2017-03-14,28
2017-03-15,27
2017-03-16,31
2017-03-17,31
2017-03-18,35
2017-03-19,32
2017-03-20,31
2017-03-21,30
2017-03-22,31
2017-03-23,30
2017-03-24,30
2017-03-25,33
2017-03-26,26
2017-03-27,28
2017-03-28,27
2017-03-29,27
2017-03-30,24
2017-03-31,25
2017-04-01,27
2017-04-02,24
2017-04-03,26
2017-04-04,26
2017-04-05,27
2017-04-06,25
2017-04-07,24
2017-04-08,26
2017-04-09,24
2017-04-10,27
2017-04-11,27
2017-04-12,27
2017-04-13,27
2017-04-14,25
2017-04-15,25
2017-04-16,24
2017-04-17,25
2017-04-18,27
2017-04-19,26
2017-04-20,24
2017-04-21,26
2017-04-22,26
2017-04-23,22
2017-04-24,25
2017-04-25,27
2017-04-26,29
2017-04-27,29
2017-04-28,29
2017-04-29,28
2017-04-30,27
2017-05-01,34
2017-05-02,36
2017-05-03,38
2017-05-04,47
2017-05-05,44
2017-05-06,35
2017-05-07,36
2017-05-08,41
2017-05-09,53
2017-05-10,50
2017-05-11,54
2017-05-12,65
2017-05-13,67
2017-05-14,55
2017-05-15,74
2017-05-16,69
2017-05-17,59
2017-05-18,52
2017-05-19,59
2017-05-20,60
2017-05-21,57
2017-05-22,93
2017-05-23,100
