Category: All categories

Day,bitcoin: (Worldwide)
2016-01-01,58
2016-01-02,58
2016-01-03,62
2016-01-04,63
2016-01-05,69
2016-01-06,62
2016-01-07,81
2016-01-08,71
2016-01-09,63
2016-01-10,66
2016-01-11,65
2016-01-12,63
2016-01-13,67
2016-01-14,65
2016-01-15,95
2016-01-16,100
2016-01-17,76
2016-01-18,79
2016-01-19,77
2016-01-20,79
2016-01-21,74
2016-01-22,68
2016-01-23,64
2016-01-24,60
2016-01-25,68
2016-01-26,72
2016-01-27,67
2016-01-28,69
2016-01-29,63
2016-01-30,60
2016-01-31,57
2016-02-01,60
2016-02-02,63
2016-02-03,62
2016-02-04,58
2016-02-05,49
2016-02-06,61
2016-02-07,60
2016-02-08,61
2016-02-09,62
2016-02-10,60
2016-02-11,65
2016-02-12,68
2016-02-13,57
2016-02-14,66
2016-02-15,70
2016-02-16,70
2016-02-17,68
2016-02-18,78
2016-02-19,68
2016-02-20,70
2016-02-21,66
2016-02-22,67
2016-02-23,65
