Category: All categories

Day,bitcoin: (Worldwide)
2016-11-23,37
2016-11-24,39
2016-11-25,35
2016-11-26,34
2016-11-27,36
2016-11-28,37
2016-11-29,38
2016-11-30,35
2016-12-01,39
2016-12-02,40
2016-12-03,37
2016-12-04,36
2016-12-05,40
2016-12-06,38
2016-12-07,37
2016-12-08,40
2016-12-09,36
2016-12-10,35
2016-12-11,34
2016-12-12,36
2016-12-13,37
2016-12-14,36
2016-12-15,35
2016-12-16,37
2016-12-17,33
2016-12-18,34
2016-12-19,38
2016-12-20,37
2016-12-21,44
2016-12-22,54
2016-12-23,60
2016-12-24,53
2016-12-25,46
2016-12-26,46
2016-12-27,55
2016-12-28,58
2016-12-29,63
2016-12-30,54
2016-12-31,45
2017-01-01,49
2017-01-02,85
2017-01-03,74
2017-01-04,88
2017-01-05,100
2017-01-06,91
2017-01-07,76
2017-01-08,67
2017-01-09,66
2017-01-10,59
2017-01-11,70
2017-01-12,71
2017-01-13,60
2017-01-14,54
2017-01-15,49
2017-01-16,52
2017-01-17,55
2017-01-18,52
2017-01-19,50
2017-01-20,49
2017-01-21,47
2017-01-22,46
2017-01-23,44
2017-01-24,46
2017-01-25,49
2017-01-26,45
2017-01-27,43
2017-01-28,43
2017-01-29,43
2017-01-30,44
2017-01-31,49
2017-02-01,50
2017-02-02,52
2017-02-03,54
2017-02-04,47
2017-02-05,48
2017-02-06,46
2017-02-07,50
2017-02-08,55
2017-02-09,59
2017-02-10,51
2017-02-11,49
2017-02-12,46
2017-02-13,46
2017-02-14,47
2017-02-15,46
2017-02-16,47
2017-02-17,51
2017-02-18,50
2017-02-19,43
2017-02-20,49
2017-02-21,57
2017-02-22,55
2017-02-23,62
