Category: All categories

Day,bitcoin: (Worldwide)
2017-08-23,43
2017-08-24,40
2017-08-25,42
2017-08-26,37
2017-08-27,33
2017-08-28,37
2017-08-29,43
2017-08-30,47
2017-08-31,49
2017-09-01,50
2017-09-02,49
2017-09-03,43
2017-09-04,54
2017-09-05,54
2017-09-06,46
2017-09-07,43
2017-09-08,46
2017-09-09,37
2017-09-10,38
2017-09-11,42
2017-09-12,41
2017-09-13,56
2017-09-14,69
2017-09-15,78
2017-09-16,51
2017-09-17,42
2017-09-18,48
2017-09-19,43
2017-09-20,40
2017-09-21,40
2017-09-22,36
2017-09-23,31
2017-09-24,29
2017-09-25,33
2017-09-26,32
2017-09-27,35
2017-09-28,34
2017-09-29,34
2017-09-30,30
2017-10-01,30
2017-10-02,34
2017-10-03,35
2017-10-04,32
2017-10-05,33
2017-10-06,31
2017-10-07,28
2017-10-08,32
2017-10-09,38
2017-10-10,39
2017-10-11,38
2017-10-12,64
2017-10-13,75
2017-10-14,52
2017-10-15,48
2017-10-16,49
2017-10-17,47
2017-10-18,48
2017-10-19,46
2017-10-20,54
2017-10-21,62
2017-10-22,50
2017-10-23,58
2017-10-24,63
2017-10-25,57
2017-10-26,55
2017-10-27,49
2017-10-28,40
2017-10-29,45
2017-10-30,52
2017-10-31,60
2017-11-01,75
2017-11-02,99
2017-11-03,90
2017-11-04,70
2017-11-05,70
2017-11-06,75
2017-11-07,69
2017-11-08,75
2017-11-09,70
2017-11-10,82
2017-11-11,82
2017-11-12,100
2017-11-13,93
2017-11-14,71
2017-11-15,71
2017-11-16,74
2017-11-17,85
2017-11-18,63
2017-11-19,62
2017-11-20,80
2017-11-21,87
2017-11-22,73
2017-11-23,65
