Category: All categories

Day,bitcoin: (Worldwide)
2016-02-23,33
2016-02-24,31
2016-02-25,33
2016-02-26,30
2016-02-27,33
2016-02-28,30
2016-02-29,32
2016-03-01,35
2016-03-02,32
2016-03-03,34
2016-03-04,31
2016-03-05,32
2016-03-06,31
2016-03-07,34
2016-03-08,32
2016-03-09,31
2016-03-10,29
2016-03-11,30
2016-03-12,28
2016-03-13,29
2016-03-14,32
2016-03-15,32
2016-03-16,31
2016-03-17,30
2016-03-18,30
2016-03-19,26
2016-03-20,28
2016-03-21,31
2016-03-22,30
2016-03-23,29
2016-03-24,30
2016-03-25,28
2016-03-26,28
2016-03-27,30
2016-03-28,31
2016-03-29,33
2016-03-30,31
2016-03-31,31
2016-04-01,29
2016-04-02,28
2016-04-03,29
2016-04-04,29
2016-04-05,29
2016-04-06,30
2016-04-07,30
2016-04-08,28
2016-04-09,28
2016-04-10,31
2016-04-11,32
2016-04-12,32
2016-04-13,29
2016-04-14,29
2016-04-15,30
2016-04-16,26
2016-04-17,27
2016-04-18,28
2016-04-19,28
2016-04-20,29
2016-04-21,32
2016-04-22,34
2016-04-23,32
2016-04-24,33
2016-04-25,34
2016-04-26,35
2016-04-27,35
2016-04-28,38
2016-04-29,34
2016-04-30,34
2016-05-01,30
2016-05-02,100
2016-05-03,61
2016-05-04,43
2016-05-05,47
2016-05-06,40
2016-05-07,35
2016-05-08,35
2016-05-09,38
2016-05-10,39
2016-05-11,35
2016-05-12,33
2016-05-13,32
2016-05-14,31
2016-05-15,30
2016-05-16,34
2016-05-17,32
2016-05-18,32
2016-05-19,34
2016-05-20,32
2016-05-21,28
2016-05-22,29
2016-05-23,33
