Category: All categories

Day,bitcoin: (Worldwide)
2017-11-23,13
2017-11-24,13
2017-11-25,12
2017-11-26,20
2017-11-27,25
2017-11-28,25
2017-11-29,53
2017-11-30,39
2017-12-01,28
2017-12-02,22
2017-12-03,25
2017-12-04,24
2017-12-05,23
2017-12-06,43
2017-12-07,70
2017-12-08,59
2017-12-09,45
2017-12-10,44
2017-12-11,41
2017-12-12,35
2017-12-13,37
2017-12-14,32
2017-12-15,29
2017-12-16,25
2017-12-17,29
2017-12-18,34
2017-12-19,37
2017-12-20,71
2017-12-21,53
2017-12-22,100
2017-12-23,36
2017-12-24,37
2017-12-25,27
2017-12-26,26
2017-12-27,27
2017-12-28,33
2017-12-29,24
2017-12-30,35
2017-12-31,20
2018-01-01,15
2018-01-02,22
2018-01-03,23
2018-01-04,18
2018-01-05,18
2018-01-06,11
2018-01-07,12
2018-01-08,21
2018-01-09,20
2018-01-10,24
2018-01-11,28
2018-01-12,20
2018-01-13,17
2018-01-14,17
2018-01-15,19
2018-01-16,61
2018-01-17,58
2018-01-18,28
2018-01-19,23
2018-01-20,16
2018-01-21,19
2018-01-22,29
2018-01-23,22
2018-01-24,22
2018-01-25,21
2018-01-26,24
2018-01-27,12
2018-01-28,14
2018-01-29,19
2018-01-30,23
2018-01-31,20
2018-02-01,40
2018-02-02,44
2018-02-03,18
2018-02-04,22
2018-02-05,38
2018-02-06,54
2018-02-07,27
2018-02-08,21
2018-02-09,21
2018-02-10,15
2018-02-11,11
2018-02-12,14
2018-02-13,12
2018-02-14,14
2018-02-15,16
2018-02-16,16
2018-02-17,11
2018-02-18,13
2018-02-19,11
2018-02-20,18
2018-02-21,17
