Category: All categories

Day,bitcoin: (Worldwide)
2016-05-23,42
2016-05-24,43
2016-05-25,42
2016-05-26,41
2016-05-27,45
2016-05-28,51
2016-05-29,58
2016-05-30,60
2016-05-31,61
2016-06-01,54
2016-06-02,49
2016-06-03,55
2016-06-04,53
2016-06-05,49
2016-06-06,54
2016-06-07,52
2016-06-08,51
2016-06-09,48
2016-06-10,47
2016-06-11,46
2016-06-12,71
2016-06-13,85
2016-06-14,77
2016-06-15,62
2016-06-16,79
2016-06-17,80
2016-06-18,68
2016-06-19,62
2016-06-20,67
2016-06-21,75
2016-06-22,64
2016-06-23,68
2016-06-24,100
2016-06-25,68
2016-06-26,55
2016-06-27,62
2016-06-28,58
2016-06-29,55
2016-06-30,59
2016-07-01,54
2016-07-02,51
2016-07-03,55
2016-07-04,49
2016-07-05,53
2016-07-06,52
2016-07-07,59
2016-07-08,54
2016-07-09,66
2016-07-10,59
2016-07-11,53
2016-07-12,49
2016-07-13,51
2016-07-14,44
2016-07-15,44
2016-07-16,41
2016-07-17,46
2016-07-18,43
2016-07-19,48
2016-07-20,43
2016-07-21,40
2016-07-22,42
2016-07-23,42
2016-07-24,39
2016-07-25,40
2016-07-26,45
2016-07-27,50
2016-07-28,41
2016-07-29,42
2016-07-30,41
2016-07-31,43
2016-08-01,47
2016-08-02,57
2016-08-03,95
2016-08-04,64
2016-08-05,52
2016-08-06,43
2016-08-07,47
2016-08-08,45
2016-08-09,45
2016-08-10,45
2016-08-11,43
2016-08-12,37
2016-08-13,39
2016-08-14,40
2016-08-15,45
2016-08-16,43
2016-08-17,39
2016-08-18,41
2016-08-19,40
2016-08-20,37
2016-08-21,34
2016-08-22,45
2016-08-23,43
